time,status,count
00h 00,approved,9
00h 00,denied,6
00h 00,refunded,1
00h 01,denied,8
00h 01,approved,13
00h 02,refunded,1
00h 02,approved,11
00h 02,denied,7
00h 03,denied,3
00h 03,approved,12
00h 04,approved,11
00h 05,denied,2
00h 05,approved,9
00h 06,denied,2
00h 06,approved,9
00h 07,reversed,1
00h 07,denied,1
00h 07,approved,11
00h 08,approved,7
00h 08,denied,2
00h 09,approved,9
00h 10,denied,1
00h 10,approved,10
00h 11,approved,14
00h 11,denied,2
00h 12,approved,10
00h 13,approved,11
00h 14,approved,7
00h 15,approved,6
00h 16,approved,7
00h 17,approved,7
00h 18,approved,3
00h 19,approved,7
00h 19,denied,3
00h 19,refunded,1
00h 20,denied,1
00h 20,approved,13
00h 21,approved,6
00h 21,denied,1
00h 22,approved,3
00h 23,approved,10
00h 23,denied,2
00h 24,approved,10
00h 24,denied,1
00h 25,approved,3
00h 26,approved,7
00h 26,denied,2
00h 27,denied,2
00h 27,approved,8
00h 28,approved,11
00h 28,denied,2
00h 29,denied,1
00h 29,approved,5
00h 30,denied,2
00h 30,approved,6
00h 31,approved,8
00h 32,approved,4
00h 32,denied,2
00h 33,denied,3
00h 33,approved,4
00h 34,denied,1
00h 34,approved,7
00h 35,approved,8
00h 36,denied,1
00h 36,approved,10
00h 37,approved,10
00h 37,denied,3
00h 38,approved,7
00h 38,denied,1
00h 39,approved,6
00h 40,denied,1
00h 40,approved,6
00h 41,approved,5
00h 41,denied,1
00h 42,approved,6
00h 43,approved,4
00h 44,approved,4
00h 45,approved,5
00h 46,approved,2
00h 47,approved,6
00h 47,reversed,1
00h 48,approved,4
00h 49,denied,3
00h 49,approved,11
00h 50,approved,6
00h 50,denied,5
00h 51,approved,2
00h 52,approved,10
00h 52,denied,1
00h 53,denied,2
00h 53,approved,5
00h 54,denied,1
00h 54,approved,5
00h 55,approved,2
00h 55,denied,3
00h 56,denied,1
00h 56,reversed,1
00h 56,approved,2
00h 57,approved,2
00h 57,denied,1
00h 58,approved,3
00h 58,denied,1
00h 59,approved,4
00h 59,denied,1
01h 00,approved,2
01h 01,approved,3
01h 01,denied,1
01h 02,approved,4
01h 03,approved,5
01h 04,approved,12
01h 05,approved,5
01h 06,approved,5
01h 07,denied,3
01h 07,approved,1
01h 08,denied,1
01h 08,backend_reversed,1
01h 08,approved,3
01h 09,approved,2
01h 10,approved,5
01h 11,approved,3
01h 11,denied,1
01h 12,approved,5
01h 12,denied,2
01h 13,denied,2
01h 13,approved,5
01h 14,approved,4
01h 15,approved,2
01h 16,approved,5
01h 17,approved,5
01h 18,approved,1
01h 19,approved,4
01h 20,approved,3
01h 21,approved,1
01h 22,refunded,1
01h 22,approved,2
01h 23,approved,3
01h 24,denied,1
01h 24,approved,2
01h 25,approved,2
01h 25,denied,1
01h 26,approved,2
01h 26,denied,1
01h 27,approved,5
01h 27,denied,1
01h 28,approved,5
01h 29,denied,1
01h 29,approved,2
01h 30,approved,1
01h 30,denied,2
01h 31,denied,2
01h 31,approved,2
01h 32,approved,3
01h 32,denied,1
01h 33,approved,1
01h 33,denied,2
01h 34,approved,6
01h 34,denied,3
01h 35,denied,1
01h 35,approved,4
01h 36,approved,3
01h 38,approved,4
01h 39,approved,2
01h 39,denied,1
01h 40,approved,1
01h 41,approved,1
01h 42,approved,4
01h 43,approved,5
01h 44,approved,6
01h 44,denied,1
01h 45,approved,3
01h 46,approved,1
01h 47,approved,1
01h 48,approved,1
01h 49,approved,1
01h 50,approved,4
01h 52,approved,2
01h 53,approved,2
01h 54,approved,1
01h 55,approved,4
01h 55,denied,2
01h 56,approved,3
01h 56,denied,2
01h 57,denied,2
01h 57,approved,2
01h 58,approved,1
01h 59,denied,1
02h 00,approved,2
02h 01,approved,3
02h 02,denied,1
02h 03,approved,4
02h 03,denied,1
02h 04,approved,2
02h 05,denied,1
02h 05,approved,1
02h 06,approved,1
02h 07,approved,1
02h 08,approved,1
02h 09,approved,2
02h 10,approved,2
02h 12,approved,2
02h 14,approved,2
02h 15,approved,1
02h 16,approved,1
02h 16,denied,1
02h 17,approved,2
02h 20,approved,1
02h 21,approved,1
02h 22,approved,1
02h 22,denied,1
02h 23,denied,1
02h 23,approved,1
02h 24,approved,2
02h 24,denied,1
02h 25,approved,1
02h 26,approved,1
02h 27,approved,1
02h 28,approved,3
02h 30,approved,1
02h 31,denied,1
02h 31,approved,3
02h 32,approved,2
02h 33,approved,1
02h 34,approved,1
02h 35,denied,1
02h 36,approved,1
02h 39,approved,3
02h 40,approved,4
02h 41,denied,1
02h 41,approved,1
02h 42,approved,2
02h 43,approved,1
02h 44,approved,1
02h 45,approved,1
02h 47,approved,1
02h 48,approved,1
02h 54,approved,2
02h 54,denied,1
02h 55,approved,1
02h 56,approved,2
02h 57,approved,1
02h 59,approved,1
03h 02,approved,1
03h 03,approved,3
03h 04,approved,3
03h 06,approved,1
03h 06,denied,1
03h 08,approved,1
03h 10,approved,1
03h 12,denied,2
03h 12,approved,2
03h 13,denied,1
03h 14,approved,1
03h 16,approved,1
03h 17,approved,1
03h 22,denied,1
03h 22,approved,2
03h 23,approved,2
03h 24,approved,1
03h 26,approved,2
03h 27,approved,2
03h 32,approved,4
03h 33,approved,1
03h 34,approved,2
03h 35,approved,1
03h 37,approved,1
03h 39,denied,2
03h 39,approved,1
03h 40,denied,1
03h 41,denied,1
03h 42,denied,2
03h 43,denied,2
03h 44,denied,1
03h 45,approved,1
03h 47,approved,2
03h 48,approved,4
03h 52,approved,1
03h 53,denied,1
03h 55,denied,1
03h 58,denied,1
03h 58,approved,1
04h 03,approved,1
04h 04,approved,1
04h 06,approved,1
04h 16,approved,1
04h 19,approved,2
04h 23,denied,1
04h 24,denied,1
04h 31,approved,1
04h 36,approved,1
04h 37,approved,2
04h 41,approved,2
04h 42,approved,1
04h 43,approved,2
04h 44,approved,1
04h 46,approved,1
04h 47,approved,1
04h 51,approved,1
04h 52,approved,2
04h 54,approved,1
04h 55,approved,1
04h 55,denied,1
04h 56,approved,2
04h 56,denied,2
04h 57,approved,1
04h 59,approved,2
05h 00,approved,2
05h 01,approved,1
05h 02,approved,3
05h 03,approved,1
05h 04,approved,1
05h 05,approved,1
05h 06,approved,2
05h 07,approved,1
05h 07,denied,1
05h 09,approved,1
05h 10,approved,3
05h 11,approved,2
05h 12,approved,3
05h 13,approved,2
05h 14,denied,1
05h 14,approved,1
05h 15,denied,2
05h 15,approved,2
05h 16,approved,3
05h 17,denied,1
05h 17,approved,2
05h 18,denied,2
05h 19,denied,1
05h 20,approved,1
05h 20,denied,1
05h 21,approved,3
